FighterA,FighterB,ReachA,ReachB,HeightA,HeightB,WeightA,WeightB,AgeA,AgeB,WinsA,WinsB,LossesA,LossesB,DrawsA,DrawsB,TotalFightsA,TotalFightsB,WinPercA,WinPercB,KOPercA,KOPercB,RecentWinsA,RecentWinsB,RecentWinPercA,RecentWinPercB,TimeSinceLastFightA,TimeSinceLastFightB,PunchAccuracyA,PunchAccuracyB,PunchesLandedPerRoundA,PunchesLandedPerRoundB,PunchesAbsorbedPerRoundA,PunchesAbsorbedPerRoundB,DefensePercA,DefensePercB,AvgOpponentWinPercA,AvgOpponentWinPercB,StrengthOfScheduleA,StrengthOfScheduleB,StanceA,StanceB,WeightClassA,WeightClassB,TitleFight,LocationAdvantage,Result
Mairis Briedis,Yuniel Dorticos,75.0,203.0,73.0,191.0,199.0,199.0,35,34,26,24,1,2,0,0,27.0,26.0,0.96,0.92,0.69,0.85,5.0,5.0,0.82,0.8,210,240,27,28,26,29,9,9,52.0,51.0,0.73,0.71,8,9,Orthodox,Orthodox,Cruiserweight,Cruiserweight,1,0.0,1.0
Lawrence Okolie,Chris Billam-Smith,210.0,193.0,196.0,191.0,200.0,199.0,30,32,19,17,0,1,0,0,19.0,18.0,1.0,0.94,0.7,0.59,5.0,5.0,0.84,0.81,210,180,28,27,24,26,9,9,53.0,51.0,0.73,0.71,8,9,Orthodox,Orthodox,Cruiserweight,Cruiserweight,1,1.0,0.0
Chris Billam-Smith,Richard Riakporhe,193.0,196.0,191.0,196.0,199.0,199.0,33,34,19,17,1,0,0,0,20.0,17.0,0.95,1.0,0.58,0.82,5.0,5.0,0.82,0.83,210,180,27,28,25,26,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Orthodox,Cruiserweight,Cruiserweight,1,0.0,0.0
Richard Riakporhe,Krzysztof Glowacki,196.0,75.0,196.0,73.0,199.0,198.0,33,36,16,32,0,4,0,0,16.0,36.0,1.0,0.89,0.65,0.72,5.0,5.0,0.83,0.81,210,240,28,27,25,26,9,9,53.0,51.0,0.73,0.71,8,9,Orthodox,Southpaw,Cruiserweight,Cruiserweight,1,0.0,1.0
Ilunga Makabu,Michal Cieslak,74.0,201.0,74.0,191.0,199.6,198.7,32,30,26,19,2,0,0,0,28.0,19.0,0.93,1.0,0.75,0.79,5.0,5.0,1.0,1.0,365,210,29,27,18,20,54,52,0.68,0.65,0.7,0.6,6,8,Southpaw,Orthodox,Cruiserweight,Cruiserweight,1,0.0,1.0
Badou Jack,Ilunga Makabu,185.0,74.0,185.0,74.0,199.7,199.7,39,35,27,29,3,2,3,0,33.0,31.0,0.82,0.94,0.5,0.75,5.0,5.0,0.8,1.0,365,365,30,28,14,17,60,54,0.72,0.68,0.75,0.7,7,6,Orthodox,Southpaw,Cruiserweight,Cruiserweight,1,0.0,1.0
Subriel Matias,Shohjahon Ergashev,180.0,180.0,175.0,179.0,139.7,139.5,31,31,20,23,1,0,0,0,21.0,23.0,0.95,1.0,0.9,0.87,5.0,5.0,1.0,1.0,210,240,32,29,25,20,50,52,0.67,0.65,0.74,0.72,8,7,Orthodox,Southpaw,SuperLightweight,SuperLightweight,1,0.0,1.0
Regis Prograis,Danielito Zorrilla,170.0,155.0,173.0,157.0,139.7,139.6,34,27,28,16,1,1,0,0,29.0,17.0,0.97,0.89,0.83,0.75,5.0,5.0,0.8,0.8,210,330,31,27,19,21,59,55,0.72,0.66,0.76,0.7,7,6,Southpaw,Orthodox,SuperLightweight,SuperLightweight,1,1.0,1.0
Devin Haney,George Kambosos Jr.,183.0,68.0,173.0,69.0,135.0,134.5,23,28,27,20,0,1,0,0,27.0,21.0,1.0,0.95,0.62,0.6,5.0,5.0,1.0,0.8,180,240,34,29,12,19,58,50,0.76,0.72,0.79,0.75,8,7,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Ryan Garcia,Luke Campbell,178.0,180.0,178.0,175.0,135.0,135.0,22,33,20,23,0,3,0,0,20.0,26.0,1.0,0.88,0.83,0.61,5.0,5.0,1.0,0.6,230,370,32,28,16,19,56,54,0.74,0.7,0.75,0.68,6,9,Orthodox,Southpaw,Lightweight,Lightweight,1,0.0,1.0
Gervonta Davis,Leo Santa Cruz,171.0,175.0,165.0,171.0,129.8,129.8,26,32,23,37,0,1,0,0,23.0,38.0,1.0,0.97,0.93,0.54,5.0,5.0,1.0,0.8,365,300,33,30,18,24,55,57,0.7,0.68,0.74,0.72,8,9,Southpaw,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0.0,1.0
Katie Taylor,Amanda Serrano,168.0,166.0,165.0,168.0,134.6,133.6,35,33,20,42,0,1,0,1,20.0,44.0,1.0,0.95,0.44,0.76,5.0,5.0,1.0,1.0,180,300,28,32,14,18,63,60,0.74,0.72,0.77,0.75,7,9,Orthodox,Southpaw,Lightweight,Lightweight,1,1.0,1.0
Claressa Shields,Savannah Marshall,173.0,183.0,173.0,178.0,159.3,159.3,27,31,12,12,0,0,0,0,12.0,12.0,1.0,1.0,0.25,0.79,5.0,5.0,1.0,1.0,210,240,31,29,13,15,62,59,0.76,0.74,0.78,0.76,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Alycia Baumgardner,Mikaela Mayer,168.0,169.0,168.0,175.0,129.9,129.9,28,32,12,17,1,1,0,0,13.0,18.0,0.92,0.94,0.77,0.47,5.0,5.0,0.8,0.8,180,210,30,28,16,19,61,58,0.72,0.7,0.74,0.72,7,6,Orthodox,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0.0,1.0
Chantelle Cameron,Katie Taylor,69.0,168.0,173.0,165.0,139.7,139.7,32,36,17,22,0,1,0,0,17.0,23.0,1.0,0.96,0.68,0.44,5.0,5.0,1.0,0.8,210,180,32,28,17,14,64,62,0.76,0.7,0.78,0.74,8,10,Orthodox,Orthodox,SuperLightweight,SuperLightweight,1,1.0,1.0
Natasha Jonas,Terri Harper,70.0,165.0,173.0,174.0,151.0,150.5,36,24,9,10,1,0,0,1,10.0,11.0,0.9,0.91,0.55,0.5,5.0,5.0,0.8,0.8,365,240,27,25,18,16,56,60,0.72,0.68,0.74,0.7,6,7,Southpaw,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Kenshiro Teraji,Hiroto Kyoguchi,164.0,168.0,164.0,165.0,107.6,107.6,30,28,19,16,1,0,0,0,20.0,16.0,0.95,1.0,0.58,0.76,5.0,5.0,0.8,1.0,240,180,31,33,15,17,60,59,0.74,0.72,0.76,0.74,7,8,Orthodox,Orthodox,LightFlyweight,LightFlyweight,1,0.0,1.0
Kenshiro Teraji,Carlos Canizales,164.0,164.0,164.0,160.0,107.8,107.8,32,31,22,26,1,1,0,0,23.0,27.0,0.96,0.96,0.6,0.67,5.0,5.0,0.8,0.8,180,270,30,28,14,16,58,57,0.74,0.7,0.76,0.72,8,9,Orthodox,Orthodox,LightFlyweight,LightFlyweight,1,0.0,0.0
Masamichi Yabuki,Kenshiro Teraji,164.0,164.0,166.0,164.0,107.5,107.5,29,29,12,18,3,0,0,0,15.0,18.0,0.8,1.0,0.8,0.58,5.0,5.0,1.0,0.8,300,180,29,30,22,18,52,56,0.7,0.74,0.72,0.76,6,8,Orthodox,Orthodox,LightFlyweight,LightFlyweight,1,0.0,1.0
Sunny Edwards,Andres Campos,152.0,164.0,160.0,161.0,111.7,111.5,27,26,19,15,0,0,0,0,19.0,15.0,1.0,1.0,0.26,0.5,5.0,5.0,1.0,1.0,240,300,27,26,11,15,65,60,0.76,0.7,0.78,0.72,7,6,Orthodox,Orthodox,Flyweight,Flyweight,1,0.0,1.0
Jesse Rodriguez,Juan Francisco Estrada,170.0,168.0,163.0,163.0,115.0,114.6,24,34,19,44,0,3,0,0,19.0,47.0,1.0,0.94,0.5,0.68,5.0,5.0,1.0,0.8,240,365,32,31,15,18,64,61,0.76,0.72,0.78,0.74,8,10,Southpaw,Orthodox,SuperFlyweight,SuperFlyweight,1,0.0,1.0
Brandon Figueroa,Luis Nery,184.0,171.0,175.0,166.0,122.0,122.0,24,26,21,31,0,1,0,0,21.0,32.0,1.0,0.97,0.72,0.84,5.0,5.0,1.0,0.8,210,240,33,32,21,24,60,58,0.74,0.7,0.76,0.72,7,8,Orthodox,Southpaw,SuperBantamweight,SuperBantamweight,1,0.0,1.0
Rey Vargas,Mark Magsayo,182.0,171.0,178.0,169.0,125.5,125.2,31,26,35,24,0,1,0,0,35.0,25.0,1.0,0.96,0.55,0.73,5.0,5.0,1.0,0.8,365,210,30,29,14,17,65,61,0.76,0.72,0.78,0.74,8,7,Orthodox,Orthodox,Featherweight,Featherweight,1,0.0,1.0
Mark Magsayo,Gary Russell Jr.,171.0,163.0,169.0,164.0,126.0,125.5,26,33,23,31,0,1,0,0,23.0,32.0,1.0,0.97,0.73,0.6,5.0,5.0,1.0,0.8,210,365,31,32,18,15,62,64,0.74,0.72,0.76,0.74,7,10,Orthodox,Southpaw,Featherweight,Featherweight,1,0.0,1.0
Stephen Fulton,Angelo Leo,179.0,173.0,169.0,168.0,121.8,121.6,26,26,18,20,0,0,0,0,18.0,20.0,1.0,1.0,0.37,0.7,5.0,5.0,1.0,1.0,240,240,29,31,13,15,64,62,0.74,0.7,0.76,0.72,7,6,Orthodox,Orthodox,SuperBantamweight,SuperBantamweight,1,0.0,1.0
Roman Gonzalez,Juan Francisco Estrada,163.0,168.0,160.0,163.0,115.0,115.0,33,30,50,41,3,3,0,0,53.0,44.0,0.94,0.93,0.83,0.68,5.0,5.0,0.8,1.0,180,240,31,32,18,21,63,60,0.74,0.72,0.76,0.74,8,9,Orthodox,Orthodox,SuperFlyweight,SuperFlyweight,1,0.0,0.0
Isaac Cruz,Rolando Romero,165.0,173.0,163.0,170.0,134.8,134.4,25,28,24,15,2,1,1,0,27.0,16.0,0.89,0.94,0.55,0.83,5.0,5.0,0.8,0.6,210,240,30,28,17,20,62,58,0.72,0.68,0.74,0.72,7,6,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Rolando Romero,Ismael Barroso,173.0,175.0,170.0,174.0,139.0,139.0,27,40,14,24,1,4,0,2,15.0,30.0,0.93,0.8,0.83,0.7,5.0,5.0,0.6,0.6,365,240,29,27,15,19,60,56,0.7,0.66,0.72,0.7,6,7,Orthodox,Southpaw,SuperLightweight,SuperLightweight,1,1.0,1.0
Jose Ramirez,Maurice Hooker,184.0,203.0,102.0,180.0,140.0,140.0,26,29,24,26,0,1,0,1,24.0,28.0,1.0,0.93,0.64,0.64,5.0,5.0,1.0,0.8,210,270,33,31,20,22,61,59,0.74,0.7,0.76,0.72,8,7,Orthodox,Orthodox,SuperLightweight,SuperLightweight,1,0.0,1.0
Sandor Martin,Mikey Garcia,71.0,173.0,69.0,168.0,144.0,143.6,28,33,38,40,2,1,0,0,40.0,41.0,0.95,0.95,0.33,0.75,5.0,5.0,1.0,0.6,240,365,28,29,13,17,64,61,0.74,0.7,0.76,0.72,7,9,Southpaw,Orthodox,SuperLightweight,SuperLightweight,1,0.0,1.0
Jose Zepeda,Ivan Baranchyk,179.0,171.0,173.0,173.0,140.0,140.0,31,27,32,20,2,3,0,0,34.0,23.0,0.94,0.87,0.69,0.73,5.0,5.0,0.8,0.6,210,240,31,30,18,23,60,58,0.72,0.68,0.74,0.7,6,8,Southpaw,Orthodox,SuperLightweight,SuperLightweight,1,0.0,1.0
Sergey Lipinets,Lamont Peterson,67.0,183.0,67.0,175.0,147.0,146.0,30,35,15,35,2,5,1,0,18.0,40.0,0.83,0.88,0.82,0.5,5.0,5.0,0.6,0.4,210,365,30,32,17,22,61,59,0.74,0.7,0.76,0.72,6,8,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Errol Spence Jr.,Shawn Porter,183.0,177.0,175.0,170.0,147.0,147.0,29,31,25,30,0,3,0,1,25.0,34.0,1.0,0.88,0.75,0.45,5.0,5.0,1.0,0.8,210,270,33,31,16,22,63,60,0.76,0.72,0.78,0.74,8,9,Southpaw,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Yordenis Ugas,Manny Pacquiao,187.0,67.0,177.0,66.0,146.8,146.0,35,42,26,7,4,8,0,2,30.0,61.0,0.87,0.84,0.45,0.59,5.0,5.0,1.0,0.4,365,730,28,31,18,20,65,62,0.72,0.7,0.74,0.72,6,10,Orthodox,Southpaw,Welterweight,Welterweight,1,0.0,1.0
Keith Thurman,Manny Pacquiao,175.0,67.0,171.0,66.0,146.5,146.0,30,40,29,61,1,7,0,2,30.0,70.0,0.97,0.87,0.73,0.58,5.0,5.0,0.8,0.6,365,365,32,29,19,23,62,59,0.74,0.72,0.76,0.74,7,10,Orthodox,Southpaw,Welterweight,Welterweight,1,0.0,0.0
Teofimo Lopez,Richard Commey,174.0,180.0,173.0,173.0,134.6,134.6,22,32,14,29,0,3,0,0,14.0,32.0,1.0,0.91,0.76,0.7,5.0,5.0,1.0,0.8,210,365,34,30,15,18,64,60,0.76,0.72,0.78,0.74,8,9,Orthodox,Orthodox,Lightweight,Lightweight,1,0.0,1.0
Devin Haney,Vasiliy Lomachenko,183.0,166.0,173.0,170.0,134.9,134.5,24,35,29,17,0,3,0,0,29.0,20.0,1.0,0.85,0.62,0.71,5.0,5.0,1.0,0.8,180,365,35,32,12,15,58,61,0.76,0.74,0.78,0.76,8,10,Orthodox,Southpaw,Lightweight,Lightweight,1,0.0,1.0
Junto Nakatani,Andrew Moloney,174.0,165.0,173.0,165.0,114.8,114.8,25,32,24,26,0,2,0,0,24.0,28.0,1.0,0.93,0.85,0.5,5.0,5.0,1.0,0.8,180,365,33,29,17,20,61,58,0.76,0.7,0.78,0.72,8,7,Southpaw,Orthodox,SuperFlyweight,SuperFlyweight,1,0.0,1.0
Shavkatdzhon Rakhimov,Zelfa Barrett,68.0,173.0,174.0,160.0,129.7,129.6,28,29,16,28,0,2,0,1,16.0,31.0,1.0,0.9,0.7,0.47,5.0,5.0,1.0,0.6,240,210,31,28,18,19,60,62,0.74,0.7,0.76,0.72,7,6,Southpaw,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0.0,1.0
Joe Cordina,Edward Vazquez,175.0,69.0,175.0,69.0,129.7,129.5,31,28,16,15,0,1,0,0,16.0,16.0,1.0,0.94,0.6,0.36,5.0,5.0,1.0,0.8,210,240,30,28,15,16,62,60,0.74,0.72,0.76,0.74,8,7,Orthodox,Orthodox,SuperFeatherweight,SuperFeatherweight,1,1.0,1.0
Jai Opetaia,Jordan Thompson,193.0,76.0,188.0,198.0,199.8,199.6,28,30,22,15,0,1,0,0,22.0,16.0,1.0,0.94,0.73,0.64,5.0,5.0,1.0,0.8,210,240,32,30,20,22,60,58,0.74,0.7,0.76,0.72,7,6,Southpaw,Orthodox,Cruiserweight,Cruiserweight,1,0.0,1.0
Lawrence Okolie,David Light,210.0,76.0,196.0,74.0,199.8,199.5,30,31,19,20,0,0,0,0,19.0,20.0,1.0,1.0,0.7,0.54,5.0,5.0,1.0,0.8,365,240,29,28,17,19,61,59,0.72,0.68,0.74,0.72,6,7,Orthodox,Orthodox,Cruiserweight,Cruiserweight,1,0.0,1.0
Leigh Wood,Josh Warrington,170.0,170.0,170.0,170.0,125.9,125.9,35,32,27,31,3,2,0,0,30.0,33.0,0.9,0.94,0.6,0.33,5.0,5.0,1.0,0.8,210,365,31,30,20,22,59,57,0.72,0.7,0.74,0.72,6,7,Orthodox,Orthodox,Featherweight,Featherweight,1,0.0,1.0
Mauricio Lara,Josh Warrington,170.0,170.0,170.0,170.0,125.5,125.5,22,30,22,30,2,1,0,0,24.0,31.0,0.92,0.94,0.73,0.21,5.0,5.0,1.0,0.6,180,365,32,29,23,20,58,60,0.7,0.74,0.72,0.76,7,9,Orthodox,Orthodox,Featherweight,Featherweight,1,0.0,1.0
Josh Kelly,Troy Williamson,183.0,72.0,178.0,180.0,153.8,153.4,28,31,12,19,1,1,1,0,14.0,20.0,0.86,0.95,0.58,0.62,5.0,5.0,0.8,0.8,240,210,29,28,16,19,62,60,0.72,0.7,0.74,0.72,6,7,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,1.0,1.0
Jack Catterall,Josh Taylor,170.0,177.0,170.0,178.0,139.6,139.8,28,31,26,18,0,1,0,0,26.0,19.0,1.0,0.95,0.4,0.64,5.0,5.0,1.0,0.6,365,365,31,33,14,17,64,61,0.74,0.7,0.76,0.72,7,8,Southpaw,Southpaw,SuperLightweight,SuperLightweight,1,0.0,0.0
Tevin Farmer,Jono Carroll,170.0,69.0,168.0,170.0,130.0,129.5,28,26,28,16,4,0,1,1,33.0,17.0,0.85,0.94,0.3,0.19,5.0,5.0,1.0,1.0,120,150,18,22,12,14,64,58,0.72,0.7,7.0,6.0,Southpaw,Southpaw,SuperFeatherweight,SuperFeatherweight,1,0,1,,
Miguel Berchelt,Francisco Vargas,182.0,70.0,170.0,67.0,129.5,129.5,25,32,31,23,1,1,0,2,32.0,26.0,0.97,0.88,0.88,0.79,5.0,5.0,1.0,0.8,150,365,25,30,17,20,60,52,0.74,0.7,8.0,9.0,Orthodox,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0,1,,
Kid Gavilan,Carmen Basilio,71.0,69.0,69.0,169.0,147.0,147.0,29,28,43,56,6,16,2,7,51.0,79.0,0.84,0.71,0.45,0.55,5.0,5.0,0.6,0.7,210,180,25,28,20,24,58,50,0.7,0.68,7.0,8.0,Orthodox,Orthodox,Welterweight,Welterweight,1,0,0,,
Wilfred Benítez,Carlos Palomino,178.0,181.0,178.0,177.0,147.0,147.0,20,28,36,27,0,3,1,3,37.0,33.0,0.97,0.82,0.43,0.52,5.0,5.0,1.0,0.6,90,210,27,32,14,18,68,60,0.78,0.72,9.0,7.0,Orthodox,Orthodox,Welterweight,Welterweight,1,0,1,,
Ezzard Charles,Archie Moore,185.0,191.0,183.0,72.0,174.0,174.0,29,31,85,99,10,18,1,6,96.0,123.0,0.89,0.8,0.45,0.64,5.0,5.0,0.6,0.8,120,90,28,30,20,26,62,55,0.76,0.74,8.0,9.0,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0,1,,
Emile Griffith,Benny Paret,183.0,70.0,169.0,68.0,147.0,147.0,24,25,25,35,2,10,0,1,27.0,46.0,0.93,0.76,0.48,0.39,5.0,5.0,0.8,0.4,120,210,26,29,22,27,60,56,0.72,0.68,6.0,8.0,Orthodox,Orthodox,Welterweight,Welterweight,1,0,1,,
Pernell Whitaker,José Luis Ramírez,175.0,163.0,168.0,169.0,135.0,135.0,24,27,24,98,0,6,0,0,24.0,104.0,1.0,0.94,0.33,0.44,5.0,5.0,1.0,0.8,90,365,30,27,10,15,78,70,0.8,0.75,7.0,9.0,Southpaw,Orthodox,Lightweight,Lightweight,1,0,1,,
Gene Tunney,Jack Dempsey,193.0,185.0,183.0,185.0,190.0,188.0,29,31,65,61,1,6,1,8,67.0,75.0,0.97,0.81,0.52,0.77,5.0,5.0,1.0,0.8,365,365,25,28,20,26,60,50,0.74,0.7,8.0,9.0,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0,1,,
Carlos Monzón,Nino Benvenuti,76.0,72.0,71.0,70.0,160.0,160.0,28,32,87,82,3,7,9,0,99.0,89.0,0.88,0.92,0.59,0.64,5.0,5.0,1.0,0.8,120,150,26,30,20,24,62,58,0.76,0.72,9.0,8.0,Orthodox,Orthodox,Middleweight,Middleweight,1,0,1,,
Azumah Nelson,Jeff Fenech,173.0,169.0,165.0,170.0,130.0,130.0,33,28,38,29,2,3,1,0,41.0,32.0,0.93,0.91,0.51,0.56,5.0,5.0,0.8,1.0,150,365,30,32,25,27,64,60,0.72,0.74,8.0,8.0,Orthodox,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0,1,,
Sandy Saddler,Willie Pep,178.0,173.0,174.0,165.0,126.0,126.0,26,28,144,229,16,11,2,1,162.0,241.0,0.89,0.95,0.71,0.11,5.0,5.0,0.8,0.6,120,150,32,35,22,15,60,68,0.7,0.8,7.0,9.0,Orthodox,Orthodox,Featherweight,Featherweight,1,0,1,,
Ken Norton,Ernie Shavers,203.0,201.0,191.0,183.0,210.0,212.0,33,34,42,74,7,6,1,1,50.0,81.0,0.84,0.91,0.55,0.92,5.0,5.0,0.8,0.6,180,240,26,34,24,30,62,52,0.72,0.68,7.0,8.0,Orthodox,Orthodox,Heavyweight,Heavyweight,1,0,0,,
Julian Jackson,Gerald McClellan,185.0,196.0,180.0,185.0,160.0,160.0,33,26,55,31,1,2,0,0,56.0,33.0,0.98,0.94,0.89,0.97,5.0,5.0,0.8,1.0,240,150,30,32,28,30,64,60,0.78,0.76,8.0,7.0,Orthodox,Orthodox,Middleweight,Middleweight,1,0,0,,
Roberto Durán,Esteban De Jesús,168.0,170.0,170.0,164.0,135.0,135.0,22,23,62,57,1,3,0,0,63.0,60.0,0.98,0.95,0.77,0.68,5.0,5.0,1.0,0.6,90,120,32,34,20,28,68,60,0.8,0.72,9.0,8.0,Orthodox,Orthodox,Lightweight,Lightweight,1,0,1,,
Tony Canzoneri,Jimmy McLarnin,165.0,170.0,163.0,66.0,135.0,135.0,28,29,137,54,24,11,11,2,172.0,67.0,0.8,0.81,0.36,0.65,5.0,5.0,0.8,0.6,180,210,28,32,26,30,62,56,0.7,0.72,7.0,9.0,Orthodox,Orthodox,Lightweight,Lightweight,1,0,0,,
Barney Ross,Henry Armstrong,170.0,170.0,67.0,166.0,135.0,135.0,28,25,72,149,4,15,3,10,79.0,174.0,0.91,0.86,0.25,0.43,5.0,5.0,0.8,1.0,120,150,28,30,24,32,64,58,0.74,0.76,8.0,9.0,Orthodox,Orthodox,Lightweight,Lightweight,1,0,0,,
Jake LaMotta,Fritzie Zivic,170.0,70.0,173.0,69.0,160.0,160.0,22,30,83,158,19,27,3,5,105.0,190.0,0.79,0.83,0.2,0.23,5.0,5.0,0.8,0.4,150,180,30,32,28,36,62,54,0.72,0.68,7.0,8.0,Orthodox,Orthodox,Middleweight,Middleweight,1,0,1,,
Oscar De La Hoya,Ricardo Mayorga,73.0,72.0,179.0,180.0,66.0,72.0,33,32,38,27,4,6,0,1,42.0,34.0,0.9,0.79,0.81,0.74,5.0,5.0,0.6,0.4,365,300,32,30,20,22,70,64,0.74,0.7,9.0,8.0,Orthodox,Orthodox,LightMiddleweight,LightMiddleweight,1,0,1,,
Miguel Cotto,Ricardo Torres,170.0,170.0,173.0,173.0,140.0,140.0,25,24,27,31,0,1,0,0,27.0,32.0,1.0,0.97,0.78,0.9,5.0,5.0,1.0,0.8,120,90,30,32,24,28,72,64,0.78,0.72,8.0,7.0,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0,1,,
Kostya Tszyu,Zab Judah,170.0,183.0,170.0,170.0,140.0,140.0,32,23,28,44,1,0,0,0,29.0,44.0,0.97,1.0,0.73,0.66,5.0,5.0,0.8,1.0,240,210,28,32,24,28,62,58,0.76,0.74,9.0,7.0,Orthodox,Southpaw,LightWelterweight,LightWelterweight,1,0,1,,
Paul Williams,Antonio Margarito,198.0,183.0,188.0,180.0,147.0,147.0,25,29,32,41,0,5,0,0,32.0,46.0,1.0,0.89,0.67,0.78,5.0,5.0,1.0,0.8,120,240,30,32,28,30,62,60,0.76,0.72,8.0,9.0,Southpaw,Orthodox,Welterweight,Welterweight,1,0,1,,
Naseem Hamed,Manuel Medina,160.0,175.0,160.0,175.0,126.0,126.0,22,25,27,65,0,8,0,0,27.0,73.0,1.0,0.89,0.89,0.44,5.0,5.0,1.0,0.6,90,180,32,34,26,28,74,64,0.78,0.7,9.0,8.0,Southpaw,Orthodox,Featherweight,Featherweight,1,0,1,,
